Date,SPI INDEX
2009-01-05,4747.31
2009-01-06,4787.95
2009-01-07,4756.9
2009-01-08,4740.84
2009-01-09,4701.1
2009-01-12,4620.33
2009-01-13,4569.72
2009-01-14,4444.6
2009-01-15,4446.27
2009-01-16,4487.51
2009-01-19,4445.22
2009-01-20,4393.07
2009-01-21,4377.97
2009-01-22,4398.8
2009-01-23,4372.1
2009-01-26,4454.64
2009-01-27,4409.93
2009-01-28,4472.64
2009-01-29,4364.36
2009-01-30,4375.72
2009-02-02,4276.46
2009-02-03,4314.26
2009-02-04,4329.16
2009-02-05,4241.85
2009-02-06,4264.07
2009-02-09,4289.79
2009-02-10,4275.95
2009-02-11,4259.95
2009-02-12,4242.74
2009-02-13,4264.05
2009-02-16,4223.13
2009-02-17,4112.33
2009-02-18,4117.97
2009-02-19,4143.82
2009-02-20,4029.56
2009-02-23,3983.6
2009-02-24,3922.94
2009-02-25,3905.94
2009-02-26,3956.5
2009-02-27,3929.92
2009-03-02,3726.9
2009-03-03,3663.36
2009-03-04,3750.06
2009-03-05,3687.19
2009-03-06,3625.55
2009-03-09,3621.61
2009-03-10,3784.31
2009-03-11,3835.21
2009-03-12,3885.26
2009-03-13,3948.39
2009-03-16,4045.48
2009-03-17,4040.44
2009-03-18,4018.53
2009-03-19,4032.27
2009-03-20,4032.3
2009-03-23,4140.56
2009-03-24,4131.84
2009-03-25,4172.09
2009-03-26,4169.52
2009-03-27,4100.57
2009-03-30,3998.55
2009-03-31,4137.35
2009-04-01,4204.26
2009-04-02,4340.64
2009-04-03,4247.68
2009-04-06,4220.83
2009-04-07,4203.95
2009-04-08,4220.86
2009-04-09,4286.42
2009-04-14,4315.43
2009-04-15,4290.28
2009-04-16,4367.81
2009-04-17,4395.91
2009-04-20,4295.95
2009-04-21,4303.8
2009-04-22,4305.07
2009-04-23,4279.26
2009-04-24,4359.8
2009-04-27,4405.58
2009-04-28,4352.62
2009-04-29,4423.26
2009-04-30,4487.52
2009-05-04,4569.05
2009-05-05,4548.68
2009-05-06,4579.92
2009-05-07,4585.75
2009-05-08,4641.91
2009-05-11,4609.99
2009-05-12,4597.5
2009-05-13,4537.21
2009-05-14,4600.95
2009-05-15,4602.49
2009-05-18,4672.51
2009-05-19,4731.36
2009-05-20,4743.73
2009-05-22,4662.54
2009-05-25,4693.68
2009-05-26,4675.38
2009-05-27,4673.33
2009-05-28,4614.59
2009-05-29,4615.16
2009-06-02,4688.29
2009-06-03,4652.78
2009-06-04,4682.64
2009-06-05,4668
2009-06-08,4660.94
2009-06-09,4660.18
2009-06-10,4699.77
2009-06-11,4735.32
2009-06-12,4764.89
2009-06-15,4669.51
2009-06-16,4645.8
2009-06-17,4578.03
2009-06-18,4633.58
2009-06-19,4671.34
2009-06-22,4575.71
2009-06-23,4581.82
2009-06-24,4683.93
2009-06-25,4623.46
2009-06-26,4636.49
2009-06-29,4689.08
2009-06-30,4662.64
2009-07-01,4714.93
2009-07-02,4623.04
2009-07-03,4606.65
2009-07-06,4613.55
2009-07-07,4596.37
2009-07-08,4561.16
2009-07-09,4572.78
2009-07-10,4519.9
2009-07-13,4580.14
2009-07-14,4621.74
2009-07-15,4708.11
2009-07-16,4756.92
2009-07-17,4800.9
2009-07-20,4832.44
2009-07-21,4844.56
2009-07-22,4845.3
2009-07-23,4944.17
2009-07-24,4937.15
2009-07-27,4961.65
2009-07-28,4953.45
2009-07-29,4973.16
2009-07-30,5089.39
2009-07-31,5109.4
2009-08-03,5129.03
2009-08-04,5104.53
2009-08-05,5086.96
2009-08-06,5131.66
2009-08-07,5177.64
2009-08-10,5164.74
2009-08-11,5118.14
2009-08-12,5130.51
2009-08-13,5151.66
2009-08-14,5155.36
2009-08-17,5068.29
2009-08-18,5124.09
2009-08-19,5144.37
2009-08-20,5190.87
2009-08-21,5280.89
2009-08-24,5329.47
2009-08-25,5333.52
2009-08-26,5313.86
2009-08-27,5309.32
2009-08-28,5346
2009-08-31,5346.17
2009-09-01,5274.08
2009-09-02,5235.32
2009-09-03,5226.09
2009-09-04,5267.12
2009-09-07,5323.47
2009-09-08,5335.26
2009-09-09,5348.6
2009-09-10,5359.32
2009-09-11,5382.52
2009-09-14,5378.45
2009-09-15,5373.55
2009-09-16,5442.62
2009-09-17,5458.61
2009-09-18,5465.66
